metric_1,metric_2,correlation,abs_correlation
Revenue,Profit proxy,0.9955139185604914,0.9955139185604914
Profit proxy,Profit margin proxy,0.7867943574008726,0.7867943574008726
Revenue,Profit margin proxy,0.7427952550664477,0.7427952550664477
Profit margin proxy,Logistics cost,-0.4783807946969373,0.4783807946969373
Defect rates,End-to-end lead time,0.2914883406827827,0.2914883406827827
End-to-end lead time,Production volumes,0.2597137154104365,0.2597137154104365
Profit proxy,Manufacturing costs,-0.2223718857496975,0.2223718857496975
Fulfillment lead time,Logistics cost,0.22212101803347153,0.22212101803347153
Revenue,Manufacturing costs,-0.21402507453785463,0.21402507453785463
Profit margin proxy,Manufacturing costs,-0.1913682882639092,0.1913682882639092
Profit margin proxy,Fulfillment lead time,-0.19114123330510757,0.19114123330510757
Units sold,Production volumes,0.1879454927627096,0.1879454927627096
End-to-end lead time,Manufacturing costs,-0.18616479876509445,0.18616479876509445
Fulfillment lead time,Production volumes,-0.15875426137120782,0.15875426137120782
Revenue,Stock levels,-0.15847968034545554,0.15847968034545554
Profit proxy,Stock levels,-0.15708972044279018,0.15708972044279018
Fulfillment lead time,Availability,0.14949819963767036,0.14949819963767036
Defect rates,Stock levels,-0.14947767253748215,0.14947767253748215
Manufacturing costs,Availability,0.13465229127373207,0.13465229127373207
Profit proxy,Defect rates,-0.12781837283713843,0.12781837283713843
Revenue,Defect rates,-0.12533504269473678,0.12533504269473678
Defect rates,Production volumes,0.11885330766476773,0.11885330766476773
Profit margin proxy,Shipping costs,-0.1172290834480898,0.1172290834480898
Profit proxy,Fulfillment lead time,-0.10847717304456292,0.10847717304456292
Fulfillment lead time,Shipping costs,-0.1032973603432214,0.1032973603432214
Profit margin proxy,Stock levels,-0.1008150058271306,0.1008150058271306
Shipping costs,Production volumes,-0.09797921668751754,0.09797921668751754
Revenue,Fulfillment lead time,-0.08820433728243163,0.08820433728243163
Units sold,Availability,0.08749623560220803,0.08749623560220803
Defect rates,Shipping costs,0.08313925251620975,0.08313925251620975
Units sold,Defect rates,-0.08272648121863027,0.08272648121863027
Profit proxy,Shipping costs,-0.07847430417076058,0.07847430417076058
Revenue,Availability,-0.07517047061601034,0.07517047061601034
Logistics cost,Production volumes,-0.07492699012724922,0.07492699012724922
Profit proxy,Availability,-0.07365938126128017,0.07365938126128017
End-to-end lead time,Availability,-0.07292496876855427,0.07292496876855427
Shipping costs,Stock levels,0.0729071686132565,0.0729071686132565
Revenue,Shipping costs,-0.07289194361206006,0.07289194361206006
Profit margin proxy,Defect rates,-0.07043816011750248,0.07043816011750248
Profit proxy,Logistics cost,-0.0668824191279258,0.0668824191279258
Shipping costs,Logistics cost,0.05167074088244434,0.05167074088244434
Manufacturing costs,Production volumes,0.05150417132368154,0.05150417132368154
Availability,Production volumes,0.05013375120278923,0.05013375120278923
Fulfillment lead time,End-to-end lead time,0.046286164104840745,0.046286164104840745
Units sold,Shipping costs,0.04428537172248004,0.04428537172248004
Shipping costs,Availability,-0.0441790049072049,0.0441790049072049
Stock levels,Production volumes,0.04376287013270576,0.04376287013270576
Fulfillment lead time,Stock levels,0.04175041559926301,0.04175041559926301
Profit margin proxy,Availability,-0.04138960683137559,0.04138960683137559
Defect rates,Availability,0.04062580410518178,0.04062580410518178
Revenue,Production volumes,-0.03744108884865503,0.03744108884865503
Units sold,Logistics cost,-0.036951052502191245,0.036951052502191245
Units sold,Manufacturing costs,0.0342841456193837,0.0342841456193837
Profit margin proxy,Production volumes,0.03382045782527615,0.03382045782527615
Manufacturing costs,Stock levels,0.0332434398428367,0.0332434398428367
Defect rates,Logistics cost,0.032072024901625105,0.032072024901625105
Profit proxy,Production volumes,-0.03067933173903533,0.03067933173903533
End-to-end lead time,Logistics cost,-0.029706277211110375,0.029706277211110375
Logistics cost,Availability,-0.027314951648819388,0.027314951648819388
Revenue,Logistics cost,0.02725221110896102,0.02725221110896102
Stock levels,Availability,-0.025899850730500683,0.025899850730500683
End-to-end lead time,Shipping costs,0.025893603355205567,0.025893603355205567
Revenue,End-to-end lead time,-0.022992885154704837,0.022992885154704837
Units sold,Stock levels,0.022189481359586993,0.022189481359586993
Profit margin proxy,End-to-end lead time,-0.022025955104233434,0.022025955104233434
Units sold,Fulfillment lead time,-0.018717146961658156,0.018717146961658156
Profit proxy,End-to-end lead time,-0.01815835527968183,0.01815835527968183
Units sold,Profit margin proxy,0.017822699790640283,0.017822699790640283
Fulfillment lead time,Manufacturing costs,-0.014907787108120707,0.014907787108120707
Manufacturing costs,Logistics cost,-0.013911275893357805,0.013911275893357805
Units sold,End-to-end lead time,0.012862914781034343,0.012862914781034343
Logistics cost,Stock levels,-0.012087548922461241,0.012087548922461241
End-to-end lead time,Stock levels,-0.00841608897142899,0.00841608897142899
Defect rates,Manufacturing costs,-0.007818932847290561,0.007818932847290561
Manufacturing costs,Shipping costs,0.005983503737737367,0.005983503737737367
Defect rates,Fulfillment lead time,0.0041700977329208935,0.0041700977329208935
Revenue,Units sold,-0.001641251666114099,0.001641251666114099
Units sold,Profit proxy,0.0014385694062157151,0.0014385694062157151
